"ID_plot","Long","Lat","Seal_500","urban_rural"
"Nh_10",13.51432,52.44011,38.45486093,"urban"
"Nl_14",13.38538,52.53438,62.77824415,"urban"
"Nl_55",13.35797,52.45722,32.38531242,"urban"
"Oh_01",13.58918,52.47647,10.96370594,"rural"
"Oh_02",13.57169,52.50037,40.50267815,"urban"
"Ol_11",13.61681,52.43841,1.495169104,"rural"
"Ol_55",13.18328,52.41555,7.534940189,"rural"
"Om_02",13.58431,52.47911,17.25246392,"rural"
"Om_06",13.2075,52.58202,3.042456629,"rural"
"Sk_01",13.365361,52.477722,70.690011716819,"urban"
